Prob of qubit  0 (outcome=1) is:     0.497732
Prob of qubit  1 (outcome=1) is:     0.500171
Prob of qubit  2 (outcome=1) is:     0.500007
Prob of qubit  3 (outcome=1) is:     0.499873
Prob of qubit  4 (outcome=1) is:     0.500640
Prob of qubit  5 (outcome=1) is:     0.499949
Prob of qubit  6 (outcome=1) is:     0.501242
Prob of qubit  7 (outcome=1) is:     0.500278
Prob of qubit  8 (outcome=1) is:     0.500281
Prob of qubit  9 (outcome=1) is:     0.500030
Prob of qubit 10 (outcome=1) is:     0.499480
Prob of qubit 11 (outcome=1) is:     0.499943
Prob of qubit 12 (outcome=1) is:     0.499923
Prob of qubit 13 (outcome=1) is:     0.499973
Prob of qubit 14 (outcome=1) is:     0.499996
Prob of qubit 15 (outcome=1) is:     0.499967
Prob of qubit 16 (outcome=1) is:     0.500090
Prob of qubit 17 (outcome=1) is:     0.500095
Prob of qubit 18 (outcome=1) is:     0.499931
Prob of qubit 19 (outcome=1) is:     0.500059
Prob of qubit 20 (outcome=1) is:     0.500025
Prob of qubit 21 (outcome=1) is:     0.499995
Prob of qubit 22 (outcome=1) is:     0.499973
Prob of qubit 23 (outcome=1) is:     0.499874
Prob of qubit 24 (outcome=1) is:     0.499922
Prob of qubit 25 (outcome=1) is:     0.500294
Prob of qubit 26 (outcome=1) is:     0.499996
Prob of qubit 27 (outcome=1) is:     0.500033
Prob of qubit 28 (outcome=1) is:     0.500712
Prob of qubit 29 (outcome=1) is:     0.499945
Prob of qubit 30 (outcome=1) is:     0.499811
Prob of qubit 31 (outcome=1) is:     0.499987
Prob of qubit 32 (outcome=1) is:     0.500110
Prob of qubit 33 (outcome=1) is:     0.499912
Prob of qubit 34 (outcome=1) is:     0.500874
